news_id,embargo_date,organisation_name,news_type,news_subject,news_summary
2022101300043,13/10/2022 06:20:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Kuala Lumpur Kepong Berhad,RAM Ratings reaffirms KLK's ratings
2022101300042,13/10/2022 06:17:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Batu Kawan Berhad,RAM Ratings reaffirms Batu Kawan's issue ratings
2022101300040,13/10/2022 05:15:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Projek Smart Holdings Sdn Bhd,"Islamic Medium Term Notes Facility of up to RM250.0 Million in nominal value: Early Redemption on October 13, 2022"
2022101300041,13/10/2022 05:15:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Projek Smart Holdings Sdn Bhd,"Islamic Medium Term Notes Facility of up to RM330.0 Million in nominal value: Early Redemption on October 13, 2022"
2022101300035,13/10/2022 04:45:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Lingkaran Trans Kota Sdn Bhd,"RM1.545 Billion Sukuk Musyarakah Islamic Securities Programme : Early Redemption on October 13, 2022"
2022101300036,13/10/2022 04:45:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Kesas Sdn Bhd,"Sukuk Facility of up to RM735.0 million: Early Redemption on October 13, 2022"
2022101300020,13/10/2022 02:00:00 PM,RHB ISLAMIC BANK BERHAD,NEWS FROM MEMBERS,RHB ISLAMIC BANK BERHAD (''RHB ISLAMIC''),"Notification of profit payment due on 21/10/2022 under the Subordinated Sukuk Murabahah Programme of up to RM5,000,000,000.00 in Nominal Value"
2022101300023,13/10/2022 12:09:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Bank Kerjasama Rakyat Malaysia Berhad,RAM Ratings reaffirms Bank Rakyat's AA2/P1 ratings
2022101300018,13/10/2022 11:33:00 AM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,JB COCOA SDN BHD,MARC RATINGS ASSIGNS FINAL RATING OF A+IS TO JB COCOA'S PROPOSED RM500.0 MILLION SUKUK WAKALAH PROGRAMME
2022101300001,13/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022101200031,12/10/2022 08:38:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Trusmadi Capital Sdn Bhd (''Issuer''),MTN of up to RM3.0B and CP of up to RM300.0M and with a combined limit of up to RM3.0B: Special Resolutions in Writing of the Noteholders of Issue 1 under the CP Programme (''Special Resolutions'')
2022101200030,12/10/2022 08:31:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Trusmadi Capital Sdn Bhd (''Issuer''),MTN of up to RM3.0B and CP of up to RM300.0M and with a combined limit of up to RM3.0B: Special Resolutions in Writing of the Noteholders of Issue 1 under the MTN Programme (''Special Resolutions'')
2022101200029,12/10/2022 06:23:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Amanat Lebuhraya Rakyat Berhad,RAM Ratings assigns final AAA rating to Amanat Lebuhraya Rakyat Berhad's RM5.5 bil Senior Sukuk
2022101200028,12/10/2022 06:10:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Maybank Islamic Berhad (''Issuer''),"Islamic Commercial Papers/ Islamic Medium Term Notes Programme of up to RM10.0 Billion in Nominal Value : Buy Back Exercise on October 14, 2022"
2022101200021,12/10/2022 05:30:00 PM,CIMB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,MEX II SDN BHD (''ISSUER''),RM150 MILLION IN NOMINAL VALUE OF REDEEMABLE SECURED JUNIOR BONDS (''JUNIOR BONDS'') - Deferment of Coupon Payment due 31 October 2022 (Stock Code: PW160005)
2022101200024,12/10/2022 05:00:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,DANAJAMIN NASIONAL BERHAD,MARC RATINGS WITHDRAWS RATINGS ON DANAJAMIN'S RM2.0 BILLION SUKUK MURABAHAH PROGRAMME
2022101200025,12/10/2022 04:50:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,SEP Resources (M) Sdn Bhd,"RAM Ratings upgrades SEP Resources' sukuk to AAA, revises outlook to stable"
2022101200015,12/10/2022 03:30:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,AMANAT LEBUHRAYA RAKYAT BERHAD,MARC RATINGS ASSIGNS FINAL RATING OF AAAIS TO AMANAT LEBUHRAYA RAKYAT
2022101200001,12/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022101100024,11/10/2022 05:45:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,TRIplc Medical Sdn Bhd,"RM639.0 Million Senior Sukuk Murabahah (""Senior Sukuk"")"
2022101100034,11/10/2022 05:00:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,UiTM Solar Power Sdn Bhd,MARC RATINGS EXTENDS UITM SOLAR'S MARCWATCH NEGATIVE PLACEMENT
2022101100023,11/10/2022 02:01:00 PM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Sasaran Etika Sdn Bhd (''SESB''),RM220.0 Million Nominal Value Fixed Rate Serial Bonds (''Bonds'')
2022101100022,11/10/2022 01:55:00 PM,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,NEWS FROM MEMBERS,Perak Transit Berhad (''Issuer''),Islamic Medium Term Notes (''Sukuk Murabahah'') Programme of up to RM500.0 million in nominal value (''Sukuk Murabahah Programme'')
2022101100019,11/10/2022 11:20:00 AM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Johor Port Berhad (''Issuer''),Unrated Islamic Medium Term Notes Programme of up to RM1.0 Billion in nominal value: Early Redemption on 11 October 2022
2022101100002,11/10/2022 11:00:00 AM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,RHB Investment Bank Berhad (the ''Issuer''),"Redemption of RM200.0 Million Subordinated Notes (Stock Code : UN170158) on its first Call Date, 11 October 2022"
2022101100001,11/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022100700025,07/10/2022 06:05:00 PM,AMINVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Sabah Credit Corporation (''Issuer''),RM3.5 Billion Sukuk Musharakah Programmes
2022100600033,07/10/2022 05:00:00 PM,AMINVESTMENT BANK BERHAD,NEWS FROM MEMBERS,"AMBANK (M) BERHAD (""ISSUER"") - RM4.0B TIER 2 SUBORDINATED NOTES PROGRAMME",NOTIFICATION OF REDEMPTION IN FULL ON CALL DATE 17 OCTOBER 2022
2022100700014,07/10/2022 04:00:00 PM,ALLIANCE BANK MALAYSIA BERHAD,NEWS FROM MEMBERS,ALLIANCE BANK MALAYSIA BERHAD (''Issuer''),Additional Tier 1 Capital Securities of up to RM1.0 billion (''AT1 Programme'')
2022100700001,07/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022100600032,06/10/2022 07:20:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Danajamin Nasional Berhad (''Issuer''),"Sukuk Murabahah Programme of up to RM2.0 Billion in Nominal Value (''Sukuk Murabahah Programme''): Call option on October 6, 2022."
